seed,blocks,p20,upper,high,p19Score,coarse,record60Pass,record80Pass,source
3312671049079023004,106553,13.0,55.0,33.0,17.900121869,898.0,True,True,2026-07-11_current
4658933917000107935,87013,20.0,80.0,40.0,15.75516919,807.0,True,True,2026-07-09_08-56-05_overnight_gui_30000000000
-2511289811183891430,84036,7.0,34.0,22.0,14.375934306,725.0,True,True,2026-07-08_09-46-29_overnight_gui_300000000000
-6853453588571539405,83811,20.0,76.0,39.0,13.251128481,700.0,True,True,2026-07-09_08-56-05_overnight_gui_30000000000
7890523831343809480,77896,4.0,23.0,18.0,9.723066508,678.0,True,False,2026-07-09_20-13-07_overnight_gui_30000000000
-9076891646810085810,76524,4.0,20.0,12.0,11.754838656,95.0,True,False,2026-07-07_07-20-13_overnight_gui_3000000000000
8746612656538831780,74748,16.0,68.0,25.0,8.060145908,630.0,True,False,2026-07-08_01-38-21_overnight_gui_300000000000
4128816695744745233,73905,6.0,19.0,14.0,8.556613505,643.0,True,False,2026-07-11_current
8377524659219609160,73629,22.0,88.0,37.0,8.091464266,691.0,True,False,2026-07-11_current
-4114187939441717114,72404,13.0,41.0,33.0,27.913103284,695.0,True,False,2026-07-11_current
5433260518892965285,72090,5.0,22.0,22.0,16.983785611,641.0,True,False,2026-07-11_current
-1209705082020485874,70504,11.0,42.0,30.0,18.289657725,656.0,True,False,2026-07-11_current
-5384132694770646077,69260,10.0,33.0,21.0,14.252162423,654.0,True,False,2026-07-07_07-20-13_overnight_gui_3000000000000
4001621063700988368,67207,18.0,71.0,32.0,8.433394344,588.0,True,False,2026-07-07_19-41-54_overnight_gui_30000000000
-8867185729294567203,66377,15.0,56.0,22.0,7.503966281,635.0,True,False,2026-07-09_08-56-05_overnight_gui_30000000000
-2934182903504677027,65610,19.0,85.0,53.0,29.620840898,578.0,True,False,2026-07-08_09-46-29_overnight_gui_300000000000
2640832222633046847,65429,15.0,66.0,29.0,8.264200493,572.0,True,False,2026-07-08_09-46-29_overnight_gui_300000000000
-107010821484746277,64728,8.0,28.0,25.0,19.224079951,630.0,True,False,2026-07-08_01-38-21_overnight_gui_300000000000
-499953882135874986,64380,12.0,39.0,19.0,6.73790684,607.0,True,False,2026-07-08_09-46-29_overnight_gui_300000000000
-7038185723605711693,63829,10.0,40.0,29.0,30.370020325,578.0,True,False,2026-07-08_01-38-21_overnight_gui_300000000000
-2457097406177184696,63423,11.0,55.0,22.0,6.83908159,555.0,True,False,2026-07-08_09-46-29_overnight_gui_300000000000
1070329752576415582,63233,16.0,74.0,37.0,13.878571867,553.0,True,False,2026-07-09_20-13-07_overnight_gui_30000000000
7912643979936393914,62096,9.0,41.0,29.0,22.455753701,540.0,True,False,2026-07-07_07-20-13_overnight_gui_3000000000000
-1752124482784501126,61973,16.0,55.0,34.0,13.971067765,568.0,True,False,2026-07-08_09-46-29_overnight_gui_300000000000
-2392098069800677460,61747,13.0,57.0,28.0,9.098733963,516.0,True,False,2026-07-11_current
-8094393332351617093,61597,19.0,70.0,32.0,7.642662866,543.0,True,False,2026-07-11_current
-1695750772448386330,61154,3.0,20.0,17.0,15.183224469,555.0,True,False,2026-07-07_07-20-13_overnight_gui_3000000000000
5954299457300502630,60821,21.0,89.0,31.0,7.987269791,502.0,True,False,2026-07-09_08-56-05_overnight_gui_30000000000
4061745260353223773,60647,25.0,82.0,53.0,31.37354306,524.0,True,False,2026-07-09_01-20-19_overnight_gui_300000000000
-8971791944769748615,60397,26.0,94.0,32.0,6.767158094,552.0,True,False,2026-07-11_current
-4911844278575955359,60214,12.0,49.0,33.0,22.54716007,529.0,True,False,2026-07-11_current
1559089318164087321,60202,7.0,33.0,14.0,7.38717475,489.0,True,False,2026-07-11_current
-1441291051821804581,59665,2.0,20.0,11.0,9.904337591,510.0,False,False,2026-07-08_09-46-29_overnight_gui_300000000000
8403441495478190723,59586,11.0,49.0,25.0,8.980396772,555.0,True,False,2026-07-10_15-44-29_overnight_gui_30000000000
-7890825666719767563,59463,16.0,63.0,19.0,5.971622515,476.0,False,False,2026-07-09_20-13-07_overnight_gui_30000000000
-8197969793334936437,59294,9.0,23.0,18.0,9.304973985,517.0,True,False,2026-07-09_08-56-05_overnight_gui_30000000000
639318851259883647,59251,7.0,36.0,18.0,9.876781733,485.0,True,False,2026-07-09_08-56-05_overnight_gui_30000000000
1267257298713944739,59025,10.0,42.0,28.0,14.857164369,587.0,True,False,2026-07-08_09-46-29_overnight_gui_300000000000
1640737470253374595,58332,13.0,44.0,21.0,7.274251392,524.0,True,False,2026-07-07_19-41-54_overnight_gui_30000000000
7227540934042463185,58232,9.0,48.0,23.0,9.927196481,531.0,True,False,2026-07-08_09-46-29_overnight_gui_300000000000
-3232629110475336962,57904,21.0,74.0,30.0,7.915727488,505.0,True,False,2026-07-09_20-13-07_overnight_gui_30000000000
-7079708153274534993,57867,21.0,93.0,38.0,7.303530876,500.0,True,False,2026-07-09_20-13-07_overnight_gui_30000000000
-3394483012971440310,57732,10.0,40.0,15.0,7.193750863,487.0,True,False,2026-07-08_09-46-29_overnight_gui_300000000000
2793509584190534035,57686,5.0,29.0,11.0,5.428658452,173.0,False,False,2026-07-11_current
-6112732463981373341,57602,7.0,22.0,18.0,13.967727825,494.0,True,False,2026-07-08_01-38-21_overnight_gui_300000000000
-4081630549941467763,57600,4.0,20.0,16.0,9.469362974,514.0,True,False,2026-07-11_current
3805237660074244263,57594,16.0,58.0,21.0,7.788251443,520.0,True,False,2026-07-11_current
-8526847823641862296,57521,19.0,81.0,23.0,7.335826634,565.0,True,False,2026-07-09_01-20-19_overnight_gui_300000000000
4371169523463902375,57476,11.0,46.0,30.0,22.063584195,578.0,True,False,2026-07-08_01-38-21_overnight_gui_300000000000
4741192870791859128,56988,14.0,62.0,32.0,9.703393213,483.0,True,False,2026-07-09_20-13-07_overnight_gui_30000000000
3127737386700412690,56938,6.0,33.0,20.0,13.106865261,577.0,True,False,2026-07-11_current
4125407323804733809,56619,21.0,80.0,15.0,4.934903287,501.0,False,False,2026-07-11_current
-4348677050485365916,56052,14.0,54.0,24.0,8.197263669,505.0,True,False,2026-07-09_01-20-19_overnight_gui_300000000000
6325959726697240493,55947,8.0,36.0,23.0,15.6797686,488.0,True,False,2026-07-09_20-13-07_overnight_gui_30000000000
5446987366251420055,55570,12.0,43.0,20.0,8.539011183,484.0,True,False,2026-07-07_07-20-13_overnight_gui_3000000000000
-6879836612026505273,55465,2.0,19.0,17.0,20.064542243,423.0,False,False,2026-07-07_19-41-54_overnight_gui_30000000000
-8647368244968146052,55397,12.0,49.0,24.0,7.088913961,475.0,True,False,2026-07-08_01-38-21_overnight_gui_300000000000
815756564133803317,55049,12.0,50.0,15.0,5.72985578,446.0,True,False,2026-07-09_20-13-07_overnight_gui_30000000000
6929166112815009932,54811,10.0,52.0,29.0,9.823950607,460.0,True,False,2026-07-11_current
-1528015942915152540,54628,10.0,42.0,22.0,15.700218334,509.0,True,False,2026-07-11_current
4395129007369721760,54601,3.0,16.0,13.0,8.281084442,441.0,False,False,2026-07-09_20-13-07_overnight_gui_30000000000
5676861771503843711,54580,21.0,61.0,38.0,18.525569908,570.0,True,False,2026-07-11_current
-6698147641253548090,54539,17.0,81.0,22.0,7.594373632,451.0,True,False,2026-07-07_07-20-13_overnight_gui_3000000000000
-4171152431118466376,54538,4.0,20.0,16.0,11.995607207,468.0,True,False,2026-07-11_current
2380642769131999326,54403,12.0,43.0,17.0,7.487775803,497.0,True,False,2026-07-09_20-13-07_overnight_gui_30000000000
