sourceRun,seed,blocks,nativeP20,nativeUpper,nativeHigh,nativeP19Score,nativeP19Extreme,nativeFullY112,nativeY96Largest,nativeCoarse
670M,-9076891646810085810,79532,4.0,20.0,12.0,11.754838656,False,0.0,5.0,95.0
670M,-5384132694770646077,69260,10.0,33.0,21.0,14.252162423,True,14.0,14.0,654.0
31.9M-independent,-8803258228774850448,63569,5.0,32.0,22.0,6.986839461,True,0.0,12.0,570.0
670M,7912643979936393914,62096,9.0,41.0,29.0,22.455753701,True,11.0,21.0,540.0
670M,-1695750772448386330,61154,3.0,20.0,17.0,15.183224469,False,10.0,11.0,555.0
670M,5446987366251420055,55570,12.0,43.0,20.0,8.539011183,False,6.0,8.0,484.0
670M,-6698147641253548090,54539,17.0,81.0,22.0,7.594373632,False,9.0,10.0,451.0
670M,-5606148120060850864,53923,3.0,18.0,14.0,10.939560979,False,4.0,7.0,469.0
670M,143653186170327910,53091,19.0,66.0,13.0,4.963048404,False,9.0,9.0,449.0
670M,5967204128422269768,53012,10.0,40.0,21.0,9.14070547,True,10.0,16.0,406.0
670M,-5135136021134461606,51979,10.0,44.0,20.0,7.397032465,False,5.0,8.0,442.0
670M,-5933026191420212275,49368,14.0,63.0,13.0,4.358802507,False,5.0,11.0,396.0
670M,-4537629792139936694,49126,11.0,45.0,33.0,23.141875813,True,9.0,15.0,480.0
670M,380469018870544272,48776,15.0,74.0,15.0,5.443342217,False,4.0,7.0,429.0
670M,-3049264649252352926,48468,3.0,23.0,15.0,10.448726547,False,2.0,4.0,436.0
670M,-6737834125980428886,47822,19.0,66.0,34.0,10.063249645,True,12.0,15.0,435.0
670M,-3092112877053698645,47810,6.0,19.0,18.0,11.749229138,True,0.0,6.0,424.0
670M,4625059814969731633,47292,11.0,42.0,31.0,11.746612159,True,3.0,12.0,443.0
670M,4599869359346733930,46615,4.0,19.0,18.0,12.543753121,True,0.0,8.0,451.0
670M,-5232481191385033250,46436,16.0,57.0,20.0,5.83627196,True,5.0,19.0,393.0
670M,1240548671704148522,45425,19.0,86.0,30.0,7.736074424,True,17.0,17.0,358.0
670M,1746871125304721332,45231,8.0,26.0,15.0,10.148683666,False,2.0,9.0,465.0
670M,-5916779631243945722,44738,20.0,83.0,31.0,7.598827293,False,17.0,12.0,368.0
670M,5896385560447646866,44591,11.0,43.0,26.0,13.836159215,False,10.0,9.0,394.0
670M,-4345564842521726372,44260,20.0,82.0,21.0,6.594988649,False,7.0,13.0,400.0
